ICDId;ICDCode;ICDName;ICDNameTranslated
3425;H43.8;Vitreusun diğer bozuklukları;Other disorders of vitreous
3426;H43.9;Vitreus bozukluğu, tanımlanmamış;Vitreous disorder, unspecified
3427;H44;Göz küresi bozuklukları;Eyeball disorders
3428;H44.0;Pürülan endoftalmi;Purulent endophthalmitis
3429;H44.1;Endoftalmiler, diğer;Endophthalmitis, other
3430;H44.2;Dejeneratif miyopi;degenerative myopia
3431;H44.3;Göz küresinin diğer dejeneratif bozuklukları;Other degenerative disorders of the eye globe
3432;H44.4;Gözde hipotoni;Review hypotonia
3433;H44.5;Göz küresinin dejenere durumları;degenerate condition of the eyeball
3434;H44.6;İntraoküler yabancı cisim (eski), manyetik;Intraocular foreign body (old), magnetic
3435;H44.7;İntraoküler yabancı cisim (eski), manyetik olmayan;Intraocular foreign body (old), non-magnetic
3436;H44.8;Göz küresinin diğer bozuklukları;Other disorders of the eye globe
3437;H44.9;Göz küresi bozuklukları, tanımlanmamış;Eyeball disorder, unspecified
3438;H45*;Vitreus ve göz küresinin bozuklukları, başka yerde sınıflanmış hastalıklarda;Disorders of vitreous body and globe in diseases classified elsewhere
3439;H45.0*;Vitreus hemorajisi, başka yerde sınıflanmış hastalıklarda;Vitreous hemorrhage, in diseases classified elsewhere
3440;H45.1*;Endoftalmi, başka yerde sınıflanmış hastalıklarda;Endophthalmitis, in diseases classified elsewhere
3441;H45.8*;Vitreus ve göz küresinin diğer bozuklukları, başka yerde sınıflanmış hastalıklarda;Other disorders of vitreous body and globe in diseases classified elsewhere
3442;H46;Optik nevrit;optic neuritis
3443;H47;Optik [2.] sinir ve görme yollarının diğer bozuklukları;Optical [2] Other disorders of nerve and visual pathways
3444;H47.0;Optik sinir bozuklukları, başka yerde sınıflanmamış;Optic nerve disorders, not elsewhere classified
3445;H47.1;Papil ödemi;Papilledema
3446;H47.2;Optik atrofi;optic atrophy
3447;H47.3;Optik diskin diğer bozuklukları;Other disorders of optic disc
3448;H47.4;Optik kiazma bozuklukları;Disorders of the optic chiasm
3449;H47.5;Görme yolları bozuklukları, diğer;Disorders of visual pathways, other
3450;H47.6;Görme korteksi bozuklukları;Visual cortex disorders
3451;H47.7;Görme yolları bozuklukları, tanımlanmamış;Visual pathways disorder, unspecified
3452;H48*;Optik [2.] sinir ve görme yolları bozuklukları, başka yerde ;Optic [2nd] nerve and visual pathways disorders, elsewhere 
3453;H48.0*;Optik atrofi, başka yerde sınıflanmış hastalıklarda;Optic atrophy in diseases classified elsewhere
3454;H48.1*;Retrobulber nevrit, başka yerde sınıflanmış hastalıklarda;Retrobulbar neuritis in diseases classified elsewhere
3455;H48.8*;Optik sinir ve görme yollarının diğer bozuklukları, başka yerde sınıflanmış hastalıklarda;Other disorders of optic nerve and visual pathways in diseases classified elsewhere
3456;H49;Paralitik strabismus;paralytic strabismus
3457;H49.0;Üçüncü [okülomotor] sinir felci;Third [oculomotor] nerve palsy
3458;H49.1;Dördüncü [troklear] sinir felci;Fourth [trochlear] nerve palsy
3459;H49.2;Altıncı [abdusens] sinir felci;Sixth [Abducens] nerve palsy
3460;H49.3;Total (eksternal) oftalmopleji;Total (external) ophthalmoplegia
3461;H49.4;Progresif eksternal oftalmopleji;Progressive external ophthalmoplegia
3462;H49.8;Paralitik strabismus, diğer;Paralytic strabismus, other
3463;H49.9;Paralitik strabismus, tanımlanmamış;Paralytic strabismus, unspecified
3464;H50;Strabismus, diğer;Strabismus, other
3465;H50.0;Esotropya;esotropia
3466;H50.1;Ekzotropya;exotropia
3467;H50.2;Vertikal strabismus;vertical strabismus
3468;H50.3;İntermittan heterotropya;Intermittent heterotropia
3469;H50.4;Heterotropi, diğer ve tanımlanmamış;Heterotropic of other and unspecified
3470;H50.5;Heteroforya;Heterofory to
3471;H50.6;Mekanik strabismus;Mechanical strabismus
3472;H50.8;Strabismus diğer, tanımlanmış;Strabismus Other specified
3473;H50.9;Strabismus, tanımlanmamış;Strabismus, unspecified
3474;H51;Binoküler hareketin diğer bozuklukları;Other disorders of binocular movement
3475;H51.0;Konjuge bakış felci;The conjugate gaze palsy
3476;H51.1;Konverjans yetmezliği ve fazlalığı;Convergence insufficiency and excess
3477;H51.2;İnternükleer oftalmopleji;Internuclear ophthalmoplegia
3478;H51.8;Binoküler hareketin diğer tanımlanmış bozuklukları;Other disorders of binocular movement
3479;H51.9;Binoküler hareket bozuklukları, tanımlanmamış;Binoculars movement disorder, unspecified
3480;H52;Refraksiyon ve akomodasyon bozuklukları;Disorders of refraction and accommodation
3481;H52.0;Hipermetropi;hyperopia
3482;H52.1;Miyopi;Myopia
3483;H52.2;Astigmatizma;astigmatism
3484;H52.3;Anizometri ve anizekoni;Anizometr and the anizeko
3485;H52.4;Presbiyopi;Presbyopia
3486;H52.5;Akomodasyon bozuklukları;Disorders of accommodation
3487;H52.6;Refraksiyonun diğer bozuklukları;Other disorders of refraction
3488;H52.7;Refraksiyon bozuklukları, tanımlanmamış;Refraction disorder, unspecified
3489;H53;Görme bozuklukları;Visual disturbances
3490;H53.0;Anopsisiz ambliyopi;Anopsisiz amblyopia
3491;H53.1;Subjektif görme bozuklukları;Subjective visual disturbances
3492;H53.2;Diplopi;diplopia
3493;H53.3;Binoküler görmenin diğer bozuklukları;Other disorders of binocular vision
3494;H53.4;Görme alanı defektleri;Visual field defects
3495;H53.5;Renkli görme bozuklukları;Color vision disorders
3496;H53.6;Gece körlüğü;Night blindness
3497;H53.8;Görme bozuklukları, diğer;Visual disturbances, other
3498;H53.9;Görme bozuklukları, tanımlanmamış;Visual disturbances, unspecified
3499;H54;Körlük ve az görme;Blindness and low vision
3500;H54.0;Her iki gözde körlük;Blindness, both eyes
3501;H54.1;Tek gözde körlük, diğer gözde görme azlığı;Blindness, one eye, low vision other eye
3502;H54.2;Her iki gözde az görme;vision, both eyes
3503;H54.3;Her iki gözde nitelendirilmemiş görme kaybı;Unqualified visual loss, both eyes
3504;H54.4;Tek gözde körlük;Blindness, one eye
3505;H54.5;Tek gözde görme azlığı;Low vision, one eye
3506;H54.6;Tek gözde nitelendirilmemiş görme kaybı;Unqualified visual loss, one eye
3507;H54.7;Görme kaybı, tanımlanmamış;Vision loss, unspecified
3508;H55;Nistagmus ve diğer düzensiz göz hareketleri;Nystagmus and other irregular eye movements
3509;H57;Göz ve adnekslerin diğer bozuklukları;Other disorders of eye and adnexa
3510;H57.0;Pupiller fonksiyon anomalileri;Pupillary function abnormalities
3511;H57.1;Göz ağrısı;Eye pain
3512;H57.8;Göz ve adnekslerin diğer tanımlanmış bozuklukları;Other specified disorders of eye and adnexa
3513;H57.9;Göz ve adnekslerin bozukluğu, tanımlanmamış;Disorders of the eye and adnexa, unspecified
3514;H58*;Göz ve adnekslerin diğer bozuklukları, başka yerde sınıflanmış hastalıklarda;Other disorders of the eye and adnexa in diseases classified elsewhere
3515;H58.0*;Pupiller fonksiyon anomalileri, başka yerde sınıflanmış hastalıklarda;Anomalies of pupillary function, in diseases classified elsewhere
3516;H58.1*;Görme bozuklukları, başka yerde sınıflanmış hastalıklarda;Vision disorders in diseases classified elsewhere
3517;H58.8*;Göz ve adnekslerin diğer tanımlanmış bozuklukları, başka yerde sınıflanmış hastalıklarda;Other specified disorders of eye and adnexa in diseases classified elsewhere
3518;H59;Göz ve adnekslerin girişim sonrası bozuklukları, başka yerde sınıflanmamış ;Postprocedural disorders of the eye and adnexa, not elsewhere classified 
3519;H59.0;Katarakt cerrahisi sonrası vitreus sendromu;vitreous syndrome following cataract surgery
3520;H59.8;Göz ve adnekslerinin diğer girişim sonrası bozuklukları ;Eye disorders and other initiatives after the adnexal 
3521;H59.9;Göz ve adnekslerin girişim sonrası bozuklukları, tanımlanmamış;Postprocedural disorders of the eye and adnexa, unspecified
3522;H60;Otitis eksterna;Otitis externa
3523;H60.0;Dış kulak apseleri;The outer ear abscesses
3524;H60.1;Dış kulak sellüliti;The outer ear cellulitis
3525;H60.2;Malign otittis eksterna;Malignant otittis externa
3526;H60.3;Enfektif otitis eksterna, diğer;Infective otitis externa, other
3527;H60.4;Dış kulak yolu kolesteatomu;External auditory canal cholesteatoma
3528;H60.5;Akut otitis, enfektif olmayan;Acute otitis, non-infective
3529;H60.8;Otitis eksterna, diğer;Otitis externa, other
3530;H60.9;Otitis eksterna, tanımlanmamış;Otitis externa, unspecified
3531;H61;Dış kulağın diğer bozuklukları;Other disorders of external ear
3532;H61.0;Dış kulak perikondriti;Perichondritis the outer ear
3533;H61.1;Pinnanın enfektif olmayan bozuklukları;Pinna, non-infective disorders
3534;H61.2;Sıkışmış serumen;Stuck cerumen
3535;H61.3;Dış kulak yolu kazanılmış stenozu;Acquired stenosis of external ear canal
3536;H61.8;Dış kulağın diğer tanımlanmış bozuklukları;Other specified disorders of external ear
3537;H61.9;Dış kulak bozuklukları, tanımlanmamış;The outer ear disorder, unspecified
3538;H62*;Dış kulak bozuklukları, başka yerde sınıflanmış hastalıklarda;External ear disorders in diseases classified elsewhere
3539;H62.0*;Otitis eksterna, başka yerde sınıflanmış bakteriyel hastalıklarda;Otitis externa, bacterial diseases classified elsewhere
3540;H62.1*;Otitis eksterna, başka yerde sınıflanmış viral hastalıklarda;Otitis externa, other viral diseases classified elsewhere
3541;H62.2*;Otitis eksterna, mantarlarda;Otitis externa, mushrooms
3542;H62.3*;Otitis eksterna, başka yerde sınıflanmış enfeksiyöz ve parazitik hastalıklarda;Otitis externa, infectious and parasitic diseases classified elsewhere
3543;H62.4*;Otitis eksterna, başka yerde sınıflanmış hastalıklarda;Otitis externa, in diseases classified elsewhere
3544;H62.8*;Dış kulağın diğer bozuklukları, başka yerde sınıflanmış hastalıklarda;Other disorders of external ear in diseases classified elsewhere
3545;H65;Nonsüpüratif otitis media;Nonsuppurative otitis media
3546;H65.0;Akut seröz otitis media;Acute serous otitis media
3547;H65.1;Akut nonsüpüratif otitis media, diğer;Nonsuppurative acute otitis media, other
3548;H65.2;Kronik seröz otitis media;Chronic serous otitis media
3549;H65.3;Kronik mukoid otitis media;Chronic mucoid otitis media
3550;H65.4;Kronik nonsüpüratif Otitis media, diğer;Nonsuppurative chronic otitis media, other
3551;H65.9;Nonsüpüratif Otitis media, tanımlanmamış;Nonsuppurative Otitis media, unspecified
3552;H66;Süpüratif ve tanımlanmamış Otitis media;Suppurative and unspecified otitis media
3553;H66.0;Akut süpüratif Otitis media;Acute suppurative otitis media
3554;H66.1;Kronik tubotimpanik süpüratif Otitis media;Chronic suppurative otitis media tubotympanic
3555;H66.2;Kronik attikoantral süpüratif Otitis media;Chronic suppurative otitis media attikoantral
3556;H66.3;Kronik süpüratif Otitis media, diğer;Chronic suppurative otitis media, other
3557;H66.4;Süpüratif Otitis media, tanımlanmamış;Suppurative otitis media, unspecified
3558;H66.9;Otitis media, tanımlanmamış;Otitis media, unspecified
3559;H67*;Otitis media, başka yerde sınıflanmış hastalıklarda;Otitis media, in diseases classified elsewhere
3560;H67.0*;Otitis media, başka yerde sınıflanmış bakteriyel hastalıklarda;Otitis media, bacterial diseases classified elsewhere
3561;H67.1*;Otitis media başka yerde sınıflanmış viral hastalıklarda;Otitis media in viral diseases classified elsewhere
3562;H67.8*;Otitis media, başka yerde sınıflanmış hastalıklarda;Otitis media, in diseases classified elsewhere
3563;H68;Östaki salpenjiti ve tıkanıklığı;salpingitis and obstruction of the Eustachian
3564;H68.0;Östaki salpenjiti;The Eustachian salpingitis
3565;H68.1;Östaki tüpü tıkanıklığı;Eustachian tube obstruction
3566;H69;Östaki tüpünün diğer bozuklukları;Other disorders of Eustachian tube
3567;H69.0;Patulöz östaki tüpü;Eustachian tube Patulöz
3568;H69.8;Östaki tüpünün diğer tanımlanmış bozuklukları;Other disorders of Eustachian tube
3569;H69.9;Östaki tüpü bozuklukları, tanımlanmamış;Eustachian tube disorder, unspecified
3570;H70;Mastoidit ve ilgili durumlar;Mastoiditis and related conditions
3571;H70.0;Akut mastoidit;Acute mastoiditis
3572;H70.1;Kronik mastoidit;chronic mastoiditis
3573;H70.2;Petrozit;petrositis
3574;H70.8;Mastoiditler ve ilgili durumlar, diğer;Mastoiditis and related conditions, other
3575;H70.9;Mastoidit, tanımlanmamış;Mastoiditis, unspecified
3576;H71;Orta kulak kolesteatomu;Middle ear cholesteatoma
3577;H72;Kulak zarı perforasyonu;Eardrum perforation
3578;H72.0;Kulak zarı merkezi perforasyonu;Eardrum perforation center
3579;H72.1;Kulak zarı attik perforasyonu;Attic perforation of the eardrum
3580;H72.2;Kulak zarının diğer marjinal perforasyonları;Other marginal perforations of the eardrum
3581;H72.8;Kulak zarının diğer perforasyonları;Other perforations of the eardrum
3582;H72.9;Kulak zarının perforasyonu, tanımlanmamış;Perforation of the tympanic membrane, unspecified
3583;H73;Kulak zarının diğer bozuklukları;Other disorders of tympanic membrane
3584;H73.0;Akut mirinjit;Acute myringitis
3585;H73.1;Kronik mirinjit;Chronic myringitis
3586;H73.8;Kulak zarının diğer tanımlanmış bozuklukları;Other specified disorders of tympanic membrane
3587;H73.9;Kulak zarı bozukluğu, tanımlanmamış;Tympanic membrane disorder, unspecified
3588;H74;Orta kulak ve mastoidin diğer bozuklukları;Other disorders of middle ear and mastoid
3589;H74.0;Timpanoskleroz;tympanosclerosis
3590;H74.1;Adeziv orta kulak hastalığı;Adhesive middle ear disease
3591;H74.2;Kulak kemiklerinin dislokasyonu ve devamlılığında bozukluk;Ear bone dislocation and continuity of the disorder
3592;H74.3;Kulak kemiklerinin diğer kazanılmış anormallikleri;Other acquired abnormalities of ear bones
3593;H74.4;Orta kulak polibi;Polyp of middle ear
3594;H74.8;Orta kulak ve mastoidin diğer tanımlanmış bozuklukları;Other specified disorders of middle ear and mastoid
3595;H74.9;Orta kulak ve mastoid bozukluğu, tanımlanmamış;Disorders of middle ear and mastoid, unspecified
3596;H75*;Orta kulak ve mastoidin diğer bozuklukları, başka yerde sınıflanmış ;Other disorders of middle ear and mastoid process, not elsewhere classified 
3597;H75.0*;Mastoidit, başka yerde sınıflanmış enfeksiyöz ve parazitik hastalıklarda;Mastoiditis in infectious and parasitic diseases classified elsewhere
3598;H75.8*;Orta kulak ve mastoidin diğer tanımlanmış bozuklukları, başka yerde ;Other specified disorders of middle ear and mastoid process, not elsewhere 
3599;H80;Otoskleroz;otosclerosis
3600;H80.0;Oval pencereyi tutan otoskleroz, obliteratif olmayan;Otosclerosis involving oval window, obliterative not
3601;H80.1;Oval pencereyi tutan otoskleroz, obliteratif;Otosclerosis involving oval window, obliterative
3602;H80.2;Koklear otoskleroz;Cochlear otosclerosis
3603;H80.8;Otoskleroz, diğer;Other otosclerosis
3604;H80.9;Otoskleroz, tanımlanmamış;Otosclerosis, unspecified
3605;H81;Vestibüler fonksiyon bozuklukları;Vestibular dysfunction
3606;H81.0;Meniyer hastalığı;Meniy disease
3607;H81.1;Benign paroksismal vertigo;Benign paroxysmal vertigo
3608;H81.2;Vestibüler nöronit;Vestibular neurinitis
3609;H81.3;Periferik vertigolar, diğer;Peripheral vertigo, other
3610;H81.4;Merkezi kaynaklı vertigo;Center-induced vertigo
3611;H81.8;Vestibüler fonksiyonun diğer bozuklukları;Other disorders of vestibular function
3612;H81.9;Vestibüler fonksiyon bozuklukları, tanımlanmamış;Vestibular dysfunction, unspecified
3613;H82*;Vertiginöz sendromlar, başka yerde sınıflanmış hastalıklarda;Vertiginous syndromes in diseases classified elsewhere
3614;H83;İç kulağın diğer hastalıkları;Other diseases of inner ear
3615;H83.0;Labirentit;labyrinthitis
3616;H83.1;Labirent fistülü;Labyrinth fistula
3617;H83.2;Labirentin disfonksiyonu;Labyrinthine dysfunction
3618;H83.3;İç kulakta gürültünün etkileri;The effects of noise in the inner ear
3619;H83.8;İç kulağın diğer tanımlanmış hastalıkları;Other specified diseases of inner ear
3620;H83.9;İç kulak hastalığı, tanımlanmamış;Inner ear disease, unspecified
3621;H90;İleti tipi ve sensorinöral işitme kaybı;Conductive and sensorineural hearing loss
3622;H90.0;İleti tipi işitme kaybı, bilateral;Conductive hearing loss, bilateral
3623;H90.1;İleti tipi işitme kaybı, tek taraflı olup diğer kulakta işitme azalmamış;Conductive hearing loss, unilateral hearing in the other ear is undiminished
3624;H90.2;İleti tipi işitme kaybı, tanımlanmamış;Conductive hearing loss, unspecified
3625;H90.3;Sensorinöral işitme kaybı, bilateral;Sensorineural hearing loss, bilateral
3626;H90.4;Sensorinöral işitme kaybı, tek taraflı olup diğer kulakta işitme azalmamış;Sensorineural hearing loss, unilateral hearing in the other ear is undiminished
3627;H90.5;Sensorinöral işitme kaybı, tanımlanmamış;Sensorineural hearing loss, unspecified
3628;H90.6;Karma ileti tipi ve sensörinöral işitme kaybı, bilateral;Mixed conductive and sensorineural hearing loss, bilateral
3629;H90.7;Karma ileti tipi ve sensorinöral işitme kaybı, tek taraflı olup diğer kulakta ;Mixed conductive and sensorineural hearing loss, unilateral in the other ear 
3630;H90.8;Karma ileti tipi ve sensorinöral işitme kaybı, tanımlanmamış;Mixed conductive and sensorineural hearing loss, unspecified
3631;H91;İşitme kaybı, diğer;Hearing loss, other
3632;H91.0;Ototoksik işitme kaybı;Ototoxic hearing loss
3633;H91.1;Presbiakuzi;presbyacusis
3634;H91.2;Ani idiopatik işitme kaybı;Sudden idiopathic hearing loss
3635;H91.3;Sağır dilsiz, başka yerde sınıflanmamış;Deaf mutism, not elsewhere classified
3636;H91.8;İşitme kaybı diğer, tanımlanmış;Hearing loss Other specified
3637;H91.9;İşitme kaybı, tanımlanmamış;Hearing loss, unspecified
3638;H92;Otalji ve kulak efüzyonu;Otalgia and ear effusion
3639;H92.0;Otalji;otalgia
3640;H92.1;Otore;Otora
3641;H92.2;Otoraji;the Otoraj
3642;H93;Kulağın diğer bozuklukları, başka yerde sınıflanmış;Other disorders of ear, not elsewhere classified
3643;H93.0;Kulağın dejeneratif ve vasküler bozuklukları;Degenerative and vascular disorders of ear
3644;H93.1;Tinnitus;Tinnitus
3645;H93.2;Anormal işitsel algılama, diğer;Abnormal auditory perceptions other
3646;H93.3;Akustik sinir bozuklukları;Acoustic nerve disorders
3647;H93.8;Kulağın diğer tanımlanmış bozuklukları;Other specified disorders of ear
3648;H93.9;Kulağın bozuklukları, tanımlanmamış;Disorder of ear, unspecified
3649;H94*;Kulağın diğer bozuklukları, başka yerde sınıflanmış hastalıklarda;Other disorders of ear in diseases classified elsewhere
3650;H94.0*;Akustik nörit, başka yerde sınıflanmış enfeksiyöz ve parazitik hastalıklarda;Acoustic neuritis in infectious and parasitic diseases classified elsewhere
3651;H94.8*;Kulağın diğer tanımlanmış bozuklukları, başka yerde sınıflanmış hastalıklarda;Other specified disorders of ear in diseases classified elsewhere
3652;H95;Kulak ve mastoid çıkıntının girişim sonrası bozuklukları, ;Ear and mastoid disorder after intervention, 
3653;H95.0;Postmastoidektomi kavitesinin rekurren kolesteatomu;recurrent cholesteatoma of my cavity Postmastoidekto
3654;H95.1;Mastoidektomi sonrası diğer bozukluklar;Other disorders following mastoidectomy
3655;H95.8;Kulak ve mastoid çıkıntının girişim sonrası diğer bozuklukları;Other disorders of the ear and mastoid process after intervention
3656;H95.9;Kulak ve mastoidin girişim sonrası bozukluğu, tanımlanmamış;Postprocedural disorder ear and mastoid process, unspecified
3657;I00;Eklem romatizması, kalp tutulumu olmaksızın;Rheumatic fever without heart involvement
3658;I01;Eklem romatizması, kalp tutulumu ile birlikte;Rheumatic fever with heart involvement
3659;I01.0;Akut romatizmal perikardit;Acute rheumatic pericarditis
3660;I01.1;Akut romatizmal endokardit;Acute rheumatic endocarditis
3661;I01.2;Akut romatizmal miyokardit;Acute rheumatic myocarditis
3662;I01.8;Akut romatizmal kalp hastalığı, diğer;Acute rheumatic heart disease, other
3663;I01.9;Akut romatizmal kalp hastalığı, tanımlanmamış;Acute rheumatic heart disease, unspecified
3664;I02;Romatizmal kore;Rheumatic chorea
3665;I02.0;Romatizmal kore, kalp tutulumu ile birlikte olan;Rheumatic chorea with heart involvement
3666;I02.9;Romatizmal kore, kalp tutulumu olmaksızın;Rheumatic chorea without heart involvement
3667;I05;Romatizmal mitral kapak hastalığı;Rheumatic mitral valve disease
3668;I05.0;Mitral stenoz;Mitral stenosis
3669;I05.1;Romatizmal mitral yetmezlik;Rheumatic mitral insufficiency
3670;I05.2;Mitral stenoz, yetmezlikle birlikte;Mitral stenosis with insufficiency
3671;I05.8;Mitral kapak hastalıkları, diğer;Mitral valve disease, other
3672;I05.9;Mitral kapak hastalığı, tanımlanmamış;Mitral valve disease, unspecified
3673;I06;Romatizmal aort kapağı hastalıkları;Rheumatic aortic valve disease
3674;I06.0;Romatizmal aort stenozu;Rheumatic aortic stenosis
3675;I06.1;Romatizmal aort yetmezliği;Rheumatic aortic insufficiency
3676;I06.2;Romatizmal aort stenozu, yetmezlikle birlikte;Rheumatic aortic stenosis with insufficiency
3677;I06.8;Romatizmal aort kapağı hastalıkları, diğer;Rheumatic aortic valve disease, other
3678;I06.9;Romatizmal aort kapağı hastalığı, tanımlanmamış;Rheumatic aortic valve disease, unspecified
3679;I07;Romatizmal trikuspid kapak hastalıkları;Rheumatic tricuspid valve diseases
3680;I07.0;Triküspid stenozu;Tricuspid stenosis
3681;I07.1;Triküspid yetmezliği;Tricuspid insufficiency
3682;I07.2;Triküspid stenozu, yetmezlikle birlikte;Tricuspid stenosis with insufficiency
3683;I07.8;Triküspid kapak hastalıkları, diğer;Tricuspid valve disease, other
3684;I07.9;Triküspid kapak hastalığı, tanımlanmamış;Tricuspid valve disease, unspecified
3685;I08;Birden fazla kapak hastalıkları;Multiple valve diseases
3686;I08.0;Mitral ve aort kapaklarının bozuklukları;Disorders of both mitral and aortic valve
3687;I08.1;Mitral ve triküspid kapak bozuklukları;Mitral and tricuspid valve disorders
3688;I08.2;Aort ve triküspid kapak bozuklukları;Aortic and tricuspid valve disorders
3689;I08.3;Mitral, aort ve triküspid kapakların kombine bozuklukları;Mitral, tricuspid and aortic disorders of combined
3690;I08.8;Birden fazla kapak hastalığı, diğer;Multiple valve disease, other
3691;I08.9;Birden fazla kapak hastalığı, tanımlanmamış;Multiple valve disease, unspecified
3692;I09;Romatizmal kalp hastalıkları diğer;Other rheumatic heart diseases
3693;I09.0;Romatizmal miyokardit;rheumatic myocarditis
3694;I09.1;Endokardın romatizmal hastalıkları, kapak tanımlanmamış;Rheumatic diseases of endocardium, valve unspecified
3695;I09.2;Kronik romatizmal perikardit;Chronic rheumatic pericarditis
3696;I09.8;Romatizmal kalp hastalıkları, diğer, tanımlanmış;Rheumatic heart disease, other specified
3697;I09.9;Romatizmal kalp hastalığı, tanımlanmamış;Rheumatic heart disease, unspecified
3698;I10;Esansiyel (primer) hipertansiyon;Essential (primary) hypertension
3699;I11;Hipertansif kalp hastalığı;Hypertensive heart disease
3700;I11.0;Hipertansif kalp hastalığı, kalp yetmezliği (konjestif) ile birlikte;Hypertensive heart disease, heart failure (congestive) with
3701;I11.9;Hipertansif kalp hastalığı, kalp yetmezliği (konjestif) olmaksızın;Hypertensive heart disease, heart failure (congestive) without
3702;I12;Hipertansif böbrek hastalığı;Hypertensive renal disease
3703;I12.0;Hipertansif böbrek hastalığı, böbrek yetmezliği ile birlikte ;Hypertensive renal disease with renal failure 
3704;I12.9;Hipertansif böbrek hastalığı, böbrek yetmezliği olmaksızın;Hypertensive renal disease without renal failure
3705;I13;Hipertansif kalp ve böbrek hastalığı;Hypertensive heart and renal disease
3706;I13.0;Hipertansif kalp ve böbrek hastalığı, kalp yetmezliği (konjestif) ile birlikte;Hypertensive heart and kidney disease, heart failure (congestive) with
3707;I13.1;Hipertansif kalp ve böbrek hastalığı, böbrek yetmezliği ile birlikte;Hypertensive heart and renal disease with renal failure
3708;I13.2;Hipertansif kalp ve böbrek hastalığı, kalp (konjestif) ve böbrek yetmezliği ile birlikte ;Hypertensive heart and renal disease, heart (congestive) and with kidney failure 
3709;I15;Sekonder hipertansiyon;Secondary hypertension
3710;I15.0;Renovasküler hipertansiyon;Renovascular hypertension
3711;I15.1;Sekonder hipertansiyon, diğer böbrek bozukluklarına bağlı;Hypertension secondary to other renal disorders
3712;I15.2;Sekonder hipertansiyon, endokrin hastalıklara bağlı;Hypertension secondary to endocrine disorders
3713;I15.8;Sekonder hipertansiyon, diğer;Secondary hypertension, other
3714;I15.9;Sekonder hipertansiyon, tanımlanmamış;Secondary hypertension, unspecified
3715;I20;Angina pektoris;Angina
3716;I20.0;Unstable angina;Unstable angina
3717;I20.1;Angina pectoris, gösterilmiş spazm ile;Angina pectoris with documented spasm
3718;I20.8;Angina pektoris’in diğer formları;Other forms of angina pectoris
3719;I20.9;Angina pectoris, tanımlanmamış;Angina pectoris, unspecified
3720;I21;Akut miyokard enfarktüsü;Acute myocardial infarction
3721;I21.0;Ön duvar akut transmural miyokard enfarktüsü;The front wall acute transmural myocardial infarction
3722;I21.1;Alt duvar akut transmural miyokard enfarktüsü;Old wall acute transmural myocardial infarction
3723;I21.2;Akut transmural miyokard enfarktüsü diğer yerlerin;Acute transmural myocardial infarction of other sites
3724;I21.3;Akut transmural miyokard enfarktüsü tanımlanmamış yerlerin;Acute transmural myocardial infarction of unspecified site
3725;I21.4;Akut subendokardiyal miyokard enfarktüsü;Acute subendocardial myocardial infarction
3726;I21.9;Akut miyokardiyal enfarktüs, tanımlanmamış;Acute myocardial infarction, unspecified
3727;I22;Tekrarlayan (subsquent) miyokard enfarktüsü;Recurrent (subsquent) myocardial infarction
3728;I22.0;Tekrarlayan (subsquent) ön duvar miyokard enfarktüsü ;Recurrent (subsquent) anterior wall myocardial infarction 
3729;I22.1;Tekrarlayan (subsquent) alt duvar miyokard enfarktüsü;Recurrent (subsquent) bottom wall myocardial infarction
3730;I22.8;Tekrarlayan(subsquent) miyokard enfarktüsü sonuçları diğer yerlerin;Recurrent (subsquent) The results of myocardial infarction of other sites
3731;I22.9;Tekrarlayan (subsquent) miyokard enfarktüsü, tanımlanmamış yerlerin;Recurrent (subsquent) myocardial infarction of unspecified site
3732;I23;Akut miyokard enfarktüsü sonrası bazı komplikasyonlar;Some complications following acute myocardial infarction
3733;I23.0;Hemoperikardiyum, akut miyokardiyal enfarktüs komplikasyonu;Hemopericardium, complications of acute myocardial infarction
3734;I23.1;Atrial septal defekt, akut miyokardiyal enfarktüs komplikasyonu ;Atrial septal defects, complications of acute myocardial infarction 
3735;I23.2;Ventriküler septal defekt, akut miyokardiyal enfarktüs komplikasyonu ;Ventricular septal defect, complications of acute myocardial infarction 
3736;I23.3;Kalp duvar yırtığı,  akut miyokardiyal enfarktüs komplikasyonu, ;Rupture of the heart wall, complications of acute myocardial infarction, 
3737;I23.4;Chorda tendinea yırtığı, akut miyokardiyal enfarktüs komplikasyonu;Chordae tendineae rupture, complications of acute myocardial infarction
3738;I23.5;Papiller kas yırtığı, akut miyokardiyal enfarktüs komplikasyonu ;Papillary muscle rupture, complications of acute myocardial infarction 
3739;I23.6;Atrium, aurikular appendiks ve ventriküllerin trombüsü, akut miyokardiyal ;Atrium, auricular appendage and ventricular thrombi of acute myocardial 
3740;I23.8;Akut miyokardiyal enfarktüs sonrası gelişen diğer komplikasyonlar;Other complications following acute myocardial infarction
3741;I24;Akut iskemik kalp hastalıkları diğer;Other acute ischemic heart diseases
3742;I24.0;Koroner trombüs, miyokardiyal enfarktüs sonucu olmayan;Coronary thrombosis not resulting in myocardial infarction
3743;I24.1;Dressler sendromu;Dressler's syndrome
3744;I24.8;Akut iskemik kalp hastalığının diğer formları;Other forms of acute ischemic heart disease
3745;I24.9;Akut iskemik kalp hastalığı, tanımlanmamış;Acute ischemic heart disease, unspecified
3746;I25;Kronik iskemik kalp hastalığı;Chronic ischemic heart disease
